Layers | trigger: hover | mechanic: expand
LayoutGrid | trigger: hover | mechanic: pulse
Leaf | trigger: hover | mechanic: grow
Lightbulb | trigger: tap | mechanic: light
LineChart | trigger: hover | mechanic: plot
Link | trigger: hover | mechanic: link
ListChecks | trigger: hover | mechanic: check
Loader | trigger: hover | mechanic: spin
Locate | trigger: hover | mechanic: fix
Lock | trigger: hover | mechanic: unlock
LogIn | trigger: hover | mechanic: enter
LogOut | trigger: hover | mechanic: exit
Magnet | trigger: hover | mechanic: pull
Mail | trigger: tap | mechanic: flap
MailCheck | trigger: tap | mechanic: confirm
MailOpen | trigger: hover | mechanic: peek
MailPlus | trigger: tap | mechanic: compose
MailX | trigger: tap | mechanic: reject
Map | trigger: hover | mechanic: unfold
MapPin | trigger: hover | mechanic: drop
Mars | trigger: hover | mechanic: fly
Medal | trigger: hover | mechanic: shine
Menu | trigger: tap | mechanic: cross
MessageCircle | trigger: hover | mechanic: type
MessageSquare | trigger: hover | mechanic: reply
Metronome | trigger: hover | mechanic: tick
Mic | trigger: tap | mechanic: speak
MicOff | trigger: tap | mechanic: mute
Microscope | trigger: tap | mechanic: adjust
Milestone | trigger: tap | mechanic: reach
Milk | trigger: hover | mechanic: pour
Minus | trigger: tap | mechanic: pop
Monitor | trigger: hover | mechanic: on
Moon | trigger: hover | mechanic: tilt
MoonStar | trigger: hover | mechanic: twinkle
Mountain | trigger: hover | mechanic: reveal
MountainSnow | trigger: hover | mechanic: drift
MousePointer | trigger: tap | mechanic: click
Move | trigger: tap | mechanic: drag
Music | trigger: hover | mechanic: bob
Navigation | trigger: hover | mechanic: point
Navigation2 | trigger: tap | mechanic: spin
Network | trigger: hover | mechanic: send
Nfc | trigger: tap | mechanic: pulse
Orbit | trigger: hover | mechanic: revolve
Package | trigger: hover | mechanic: wobble
Package2 | trigger: hover | mechanic: unpack
Paintbrush | trigger: tap | mechanic: stroke
Palette | trigger: hover | mechanic: paint
Palmtree | trigger: hover | mechanic: sway
Paperclip | trigger: hover | mechanic: clip
Pause | trigger: tap | mechanic: pause
PawPrint | trigger: tap | mechanic: press
Pencil | trigger: hover | mechanic: write
Percent | trigger: hover | mechanic: orbit
Phone | trigger: hover | mechanic: ring
PhoneCall | trigger: hover | mechanic: signal
